mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
BAC009S0236W0302_BAC009S0234W0434,S0236,F,S0234,F
BAC009S0596W0326_BAC009S0510W0121,S0596,M,S0510,F
BAC009S0046W0143_BAC009S0095W0260,S0046,M,S0095,M
BAC009S0511W0370_BAC009S0045W0444,S0511,F,S0045,M
BAC009S0085W0172_BAC009S0173W0249,S0085,M,S0173,F
BAC009S0082W0224_BAC009S0211W0324,S0082,M,S0211,F
BAC009S0054W0192_BAC009S0107W0312,S0054,M,S0107,M
BAC009S0173W0165_BAC009S0117W0207,S0173,F,S0117,M
BAC009S0197W0415_BAC009S0072W0313,S0197,F,S0072,M
BAC009S0212W0430_BAC009S0047W0283,S0212,F,S0047,M
BAC009S0003W0361_BAC009S0164W0244,S0003,M,S0164,F
BAC009S0352W0311_BAC009S0512W0158,S0352,F,S0512,F
BAC009S0033W0149_BAC009S0203W0172,S0033,M,S0203,F
BAC009S0722W0323_BAC009S0039W0273,S0722,M,S0039,M
BAC009S0110W0301_BAC009S0184W0241,S0110,M,S0184,F
BAC009S0022W0214_BAC009S0065W0410,S0022,M,S0065,M
BAC009S0122W0268_BAC009S0095W0441,S0122,M,S0095,M
BAC009S0206W0446_BAC009S0109W0237,S0206,F,S0109,M
BAC009S0710W0226_BAC009S0107W0453,S0710,M,S0107,M
BAC009S0113W0376_BAC009S0177W0425,S0113,M,S0177,F
BAC009S0165W0406_BAC009S0224W0325,S0165,F,S0224,F
BAC009S0710W0235_BAC009S0031W0140,S0710,M,S0031,M
BAC009S0157W0481_BAC009S0039W0397,S0157,F,S0039,M
BAC009S0177W0475_BAC009S0337W0128,S0177,F,S0337,F
BAC009S0105W0167_BAC009S0101W0147,S0105,M,S0101,M
BAC009S0085W0224_BAC009S0233W0421,S0085,M,S0233,F
BAC009S0661W0456_BAC009S0012W0321,S0661,F,S0012,M
BAC009S0131W0147_BAC009S0596W0494,S0131,F,S0596,M
BAC009S0666W0419_BAC009S0341W0276,S0666,F,S0341,F
BAC009S0135W0367_BAC009S0140W0131,S0135,F,S0140,F
BAC009S0010W0398_BAC009S0657W0441,S0010,M,S0657,F
BAC009S0122W0343_BAC009S0192W0312,S0122,M,S0192,F
BAC009S0180W0360_BAC009S0225W0458,S0180,F,S0225,F
BAC009S0095W0461_BAC009S0159W0494,S0095,M,S0159,F
BAC009S0665W0347_BAC009S0164W0458,S0665,F,S0164,F
BAC009S0232W0420_BAC009S0204W0160,S0232,F,S0204,F
BAC009S0722W0479_BAC009S0081W0336,S0722,M,S0081,M
BAC009S0717W0168_BAC009S0656W0401,S0717,M,S0656,F
BAC009S0167W0192_BAC009S0168W0339,S0167,F,S0168,F
BAC009S0018W0444_BAC009S0516W0387,S0018,M,S0516,F
BAC009S0150W0439_BAC009S0121W0130,S0150,F,S0121,M
BAC009S0656W0314_BAC009S0017W0331,S0656,F,S0017,M
BAC009S0219W0329_BAC009S0362W0472,S0219,F,S0362,F
BAC009S0151W0280_BAC009S0175W0150,S0151,F,S0175,F
BAC009S0114W0451_BAC009S0224W0288,S0114,M,S0224,F
BAC009S0130W0169_BAC009S0596W0207,S0130,F,S0596,M
BAC009S0362W0141_BAC009S0154W0396,S0362,F,S0154,F
BAC009S0112W0166_BAC009S0165W0156,S0112,M,S0165,F
BAC009S0035W0339_BAC009S0202W0373,S0035,M,S0202,F
BAC009S0226W0296_BAC009S0191W0215,S0226,F,S0191,F
BAC009S0025W0207_BAC009S0114W0486,S0025,M,S0114,M
BAC009S0134W0221_BAC009S0511W0494,S0134,F,S0511,F
BAC009S0155W0277_BAC009S0129W0467,S0155,F,S0129,F
BAC009S0142W0129_BAC009S0088W0276,S0142,F,S0088,M
BAC009S0025W0307_BAC009S0169W0257,S0025,M,S0169,F
BAC009S0350W0312_BAC009S0006W0298,S0350,F,S0006,M
BAC009S0084W0203_BAC009S0139W0491,S0084,M,S0139,F
BAC009S0515W0258_BAC009S0197W0375,S0515,F,S0197,F
BAC009S0204W0357_BAC009S0242W0404,S0204,F,S0242,F
BAC009S0228W0247_BAC009S0056W0393,S0228,F,S0056,M
BAC009S0173W0479_BAC009S0127W0479,S0173,F,S0127,F
BAC009S0047W0485_BAC009S0218W0299,S0047,M,S0218,F
BAC009S0157W0206_BAC009S0215W0443,S0157,F,S0215,F
BAC009S0121W0355_BAC009S0187W0372,S0121,M,S0187,F
BAC009S0140W0200_BAC009S0063W0372,S0140,F,S0063,M
BAC009S0125W0178_BAC009S0227W0464,S0125,F,S0227,F
BAC009S0056W0153_BAC009S0599W0202,S0056,M,S0599,M
BAC009S0340W0197_BAC009S0421W0474,S0340,F,S0421,M
BAC009S0243W0388_BAC009S0356W0327,S0243,F,S0356,F
BAC009S0176W0199_BAC009S0182W0294,S0176,F,S0182,F
BAC009S0046W0450_BAC009S0025W0413,S0046,M,S0025,M
BAC009S0112W0308_BAC009S0070W0209,S0112,M,S0070,M
BAC009S0239W0447_BAC009S0048W0445,S0239,F,S0048,M
BAC009S0121W0267_BAC009S0354W0265,S0121,M,S0354,F
BAC009S0240W0132_BAC009S0512W0492,S0240,F,S0512,F
BAC009S0043W0252_BAC009S0113W0329,S0043,M,S0113,M
BAC009S0113W0429_BAC009S0085W0414,S0113,M,S0085,M
BAC009S0241W0301_BAC009S0714W0283,S0241,F,S0714,M
BAC009S0064W0216_BAC009S0235W0268,S0064,M,S0235,F
BAC009S0048W0315_BAC009S0113W0271,S0048,M,S0113,M
BAC009S0193W0197_BAC009S0100W0492,S0193,F,S0100,M
BAC009S0020W0418_BAC009S0360W0445,S0020,M,S0360,F
BAC009S0093W0403_BAC009S0701W0492,S0093,M,S0701,M
BAC009S0703W0370_BAC009S0151W0158,S0703,M,S0151,F
BAC009S0030W0341_BAC009S0164W0273,S0030,M,S0164,F
BAC009S0126W0136_BAC009S0063W0177,S0126,F,S0063,M
BAC009S0165W0152_BAC009S0212W0464,S0165,F,S0212,F
BAC009S0243W0315_BAC009S0423W0387,S0243,F,S0423,M
BAC009S0187W0277_BAC009S0019W0292,S0187,F,S0019,M
BAC009S0126W0394_BAC009S0226W0245,S0126,F,S0226,F
BAC009S0005W0230_BAC009S0661W0272,S0005,M,S0661,F
BAC009S0143W0436_BAC009S0019W0310,S0143,F,S0019,M
BAC009S0519W0126_BAC009S0005W0446,S0519,F,S0005,M
BAC009S0068W0337_BAC009S0066W0176,S0068,M,S0066,M
BAC009S0089W0417_BAC009S0196W0372,S0089,M,S0196,F
BAC009S0034W0230_BAC009S0252W0301,S0034,M,S0252,M
BAC009S0522W0434_BAC009S0116W0278,S0522,F,S0116,M
BAC009S0036W0428_BAC009S0599W0413,S0036,M,S0599,M
BAC009S0063W0164_BAC009S0032W0257,S0063,M,S0032,M
BAC009S0361W0375_BAC009S0661W0402,S0361,F,S0661,F
BAC009S0666W0238_BAC009S0194W0188,S0666,F,S0194,F
BAC009S0206W0250_BAC009S0362W0415,S0206,F,S0362,F
BAC009S0119W0312_BAC009S0172W0287,S0119,M,S0172,F
BAC009S0144W0330_BAC009S0028W0136,S0144,F,S0028,M
BAC009S0146W0373_BAC009S0665W0438,S0146,F,S0665,F
BAC009S0209W0192_BAC009S0119W0383,S0209,F,S0119,M
BAC009S0002W0325_BAC009S0702W0144,S0002,M,S0702,M
BAC009S0011W0338_BAC009S0656W0387,S0011,M,S0656,F
BAC009S0126W0276_BAC009S0240W0357,S0126,F,S0240,F
BAC009S0334W0324_BAC009S0024W0232,S0334,F,S0024,M
BAC009S0715W0186_BAC009S0510W0202,S0715,M,S0510,F
BAC009S0032W0482_BAC009S0513W0357,S0032,M,S0513,F
BAC009S0100W0342_BAC009S0082W0462,S0100,M,S0082,M
BAC009S0522W0251_BAC009S0246W0139,S0522,F,S0246,M
BAC009S0360W0412_BAC009S0351W0359,S0360,F,S0351,F
BAC009S0170W0459_BAC009S0197W0392,S0170,F,S0197,F
BAC009S0189W0480_BAC009S0155W0298,S0189,F,S0155,F
BAC009S0514W0447_BAC009S0120W0257,S0514,F,S0120,M
BAC009S0038W0365_BAC009S0194W0444,S0038,M,S0194,F
BAC009S0220W0247_BAC009S0232W0325,S0220,F,S0232,F
BAC009S0177W0183_BAC009S0059W0334,S0177,F,S0059,M
BAC009S0703W0357_BAC009S0208W0459,S0703,M,S0208,F
BAC009S0042W0397_BAC009S0250W0254,S0042,M,S0250,M
BAC009S0133W0470_BAC009S0047W0416,S0133,F,S0047,M
BAC009S0235W0349_BAC009S0231W0461,S0235,F,S0231,F
BAC009S0137W0248_BAC009S0205W0440,S0137,F,S0205,F
BAC009S0063W0484_BAC009S0167W0347,S0063,M,S0167,F
BAC009S0240W0384_BAC009S0518W0470,S0240,F,S0518,F
BAC009S0204W0387_BAC009S0252W0241,S0204,F,S0252,M
BAC009S0103W0178_BAC009S0351W0464,S0103,M,S0351,F
BAC009S0601W0233_BAC009S0127W0386,S0601,M,S0127,F
BAC009S0597W0185_BAC009S0100W0476,S0597,M,S0100,M
BAC009S0600W0369_BAC009S0062W0449,S0600,M,S0062,M
BAC009S0096W0137_BAC009S0244W0437,S0096,M,S0244,F
BAC009S0240W0442_BAC009S0054W0138,S0240,F,S0054,M
BAC009S0509W0127_BAC009S0519W0320,S0509,F,S0519,F
BAC009S0360W0206_BAC009S0145W0393,S0360,F,S0145,F
BAC009S0355W0360_BAC009S0101W0158,S0355,F,S0101,M
BAC009S0713W0310_BAC009S0661W0442,S0713,M,S0661,F
BAC009S0176W0452_BAC009S0148W0328,S0176,F,S0148,F
BAC009S0083W0383_BAC009S0227W0419,S0083,M,S0227,F
BAC009S0163W0472_BAC009S0664W0251,S0163,F,S0664,F
BAC009S0169W0201_BAC009S0514W0461,S0169,F,S0514,F
BAC009S0052W0244_BAC009S0157W0251,S0052,M,S0157,F
BAC009S0163W0150_BAC009S0166W0393,S0163,F,S0166,F
BAC009S0722W0276_BAC009S0340W0368,S0722,M,S0340,F
BAC009S0357W0301_BAC009S0363W0478,S0357,F,S0363,F
BAC009S0123W0194_BAC009S0145W0265,S0123,M,S0145,F
BAC009S0250W0327_BAC009S0518W0355,S0250,M,S0518,F
BAC009S0216W0404_BAC009S0085W0365,S0216,F,S0085,M
BAC009S0354W0154_BAC009S0092W0126,S0354,F,S0092,M
BAC009S0191W0372_BAC009S0659W0252,S0191,F,S0659,F
BAC009S0129W0377_BAC009S0195W0485,S0129,F,S0195,F
BAC009S0150W0467_BAC009S0156W0452,S0150,F,S0156,F
BAC009S0018W0374_BAC009S0164W0350,S0018,M,S0164,F
BAC009S0136W0328_BAC009S0051W0282,S0136,F,S0051,M
BAC009S0354W0160_BAC009S0193W0394,S0354,F,S0193,F
BAC009S0126W0254_BAC009S0338W0237,S0126,F,S0338,F
BAC009S0150W0347_BAC009S0232W0243,S0150,F,S0232,F
BAC009S0053W0475_BAC009S0228W0341,S0053,M,S0228,F
BAC009S0110W0245_BAC009S0044W0189,S0110,M,S0044,M
BAC009S0122W0491_BAC009S0363W0356,S0122,M,S0363,F
BAC009S0721W0122_BAC009S0056W0145,S0721,M,S0056,M
BAC009S0517W0480_BAC009S0185W0483,S0517,F,S0185,F
BAC009S0707W0183_BAC009S0513W0434,S0707,M,S0513,F
BAC009S0059W0269_BAC009S0243W0365,S0059,M,S0243,F
BAC009S0714W0259_BAC009S0219W0161,S0714,M,S0219,F
BAC009S0200W0490_BAC009S0065W0284,S0200,F,S0065,M
BAC009S0717W0301_BAC009S0246W0484,S0717,M,S0246,M
BAC009S0235W0442_BAC009S0175W0181,S0235,F,S0175,F
BAC009S0034W0386_BAC009S0161W0491,S0034,M,S0161,F
BAC009S0350W0161_BAC009S0201W0191,S0350,F,S0201,F
BAC009S0089W0315_BAC009S0600W0191,S0089,M,S0600,M
BAC009S0243W0195_BAC009S0342W0225,S0243,F,S0342,F
BAC009S0030W0326_BAC009S0120W0455,S0030,M,S0120,M
BAC009S0205W0128_BAC009S0141W0374,S0205,F,S0141,F
BAC009S0708W0197_BAC009S0130W0348,S0708,M,S0130,F
BAC009S0077W0250_BAC009S0011W0215,S0077,M,S0011,M
BAC009S0118W0283_BAC009S0056W0162,S0118,M,S0056,M
BAC009S0660W0257_BAC009S0105W0275,S0660,F,S0105,M
BAC009S0221W0466_BAC009S0121W0466,S0221,F,S0121,M
BAC009S0715W0209_BAC009S0226W0392,S0715,M,S0226,F
BAC009S0243W0159_BAC009S0003W0229,S0243,F,S0003,M
BAC009S0664W0203_BAC009S0226W0485,S0664,F,S0226,F
BAC009S0110W0455_BAC009S0115W0195,S0110,M,S0115,M
BAC009S0033W0174_BAC009S0229W0393,S0033,M,S0229,F
BAC009S0143W0123_BAC009S0167W0209,S0143,F,S0167,F
BAC009S0103W0190_BAC009S0064W0127,S0103,M,S0064,M
BAC009S0116W0271_BAC009S0027W0135,S0116,M,S0027,M
BAC009S0040W0370_BAC009S0114W0430,S0040,M,S0114,M
BAC009S0072W0351_BAC009S0186W0276,S0072,M,S0186,F
BAC009S0361W0305_BAC009S0065W0380,S0361,F,S0065,M
BAC009S0517W0451_BAC009S0174W0169,S0517,F,S0174,F
BAC009S0205W0198_BAC009S0192W0392,S0205,F,S0192,F
BAC009S0202W0472_BAC009S0701W0297,S0202,F,S0701,M
BAC009S0169W0204_BAC009S0663W0196,S0169,F,S0663,F
BAC009S0175W0290_BAC009S0214W0154,S0175,F,S0214,F
BAC009S0057W0245_BAC009S0357W0468,S0057,M,S0357,F
BAC009S0511W0448_BAC009S0656W0385,S0511,F,S0656,F
BAC009S0142W0491_BAC009S0221W0480,S0142,F,S0221,F
BAC009S0359W0122_BAC009S0135W0210,S0359,F,S0135,F
BAC009S0355W0363_BAC009S0339W0123,S0355,F,S0339,F
BAC009S0110W0379_BAC009S0111W0171,S0110,M,S0111,M
BAC009S0127W0450_BAC009S0080W0357,S0127,F,S0080,M
BAC009S0349W0193_BAC009S0126W0438,S0349,F,S0126,F
BAC009S0523W0176_BAC009S0163W0344,S0523,F,S0163,F
BAC009S0055W0213_BAC009S0353W0236,S0055,M,S0353,F
BAC009S0706W0213_BAC009S0131W0363,S0706,M,S0131,F
BAC009S0057W0185_BAC009S0353W0368,S0057,M,S0353,F
BAC009S0043W0225_BAC009S0708W0265,S0043,M,S0708,M
BAC009S0035W0399_BAC009S0237W0350,S0035,M,S0237,F
BAC009S0011W0242_BAC009S0598W0227,S0011,M,S0598,M
BAC009S0182W0402_BAC009S0211W0431,S0182,F,S0211,F
BAC009S0701W0366_BAC009S0122W0453,S0701,M,S0122,M
BAC009S0211W0456_BAC009S0355W0179,S0211,F,S0355,F
BAC009S0190W0198_BAC009S0598W0413,S0190,F,S0598,M
BAC009S0082W0419_BAC009S0423W0405,S0082,M,S0423,M
BAC009S0656W0474_BAC009S0349W0382,S0656,F,S0349,F
BAC009S0041W0319_BAC009S0038W0404,S0041,M,S0038,M
BAC009S0011W0236_BAC009S0046W0159,S0011,M,S0046,M
BAC009S0063W0465_BAC009S0096W0140,S0063,M,S0096,M
BAC009S0235W0370_BAC009S0127W0399,S0235,F,S0127,F
BAC009S0088W0371_BAC009S0133W0167,S0088,M,S0133,F
BAC009S0184W0121_BAC009S0351W0287,S0184,F,S0351,F
BAC009S0712W0453_BAC009S0098W0453,S0712,M,S0098,M
BAC009S0030W0329_BAC009S0250W0287,S0030,M,S0250,M
BAC009S0073W0204_BAC009S0110W0233,S0073,M,S0110,M
BAC009S0596W0223_BAC009S0117W0490,S0596,M,S0117,M
BAC009S0087W0353_BAC009S0249W0373,S0087,M,S0249,M
BAC009S0013W0396_BAC009S0219W0272,S0013,M,S0219,F
BAC009S0363W0364_BAC009S0358W0334,S0363,F,S0358,F
BAC009S0217W0218_BAC009S0175W0390,S0217,F,S0175,F
BAC009S0096W0483_BAC009S0707W0375,S0096,M,S0707,M
BAC009S0522W0440_BAC009S0163W0139,S0522,F,S0163,F
BAC009S0174W0266_BAC009S0522W0369,S0174,F,S0522,F
BAC009S0140W0220_BAC009S0016W0326,S0140,F,S0016,M
BAC009S0111W0291_BAC009S0215W0422,S0111,M,S0215,F
BAC009S0124W0310_BAC009S0188W0234,S0124,F,S0188,F
BAC009S0247W0430_BAC009S0047W0257,S0247,M,S0047,M
BAC009S0015W0359_BAC009S0710W0406,S0015,M,S0710,M
BAC009S0014W0477_BAC009S0087W0294,S0014,M,S0087,M
BAC009S0185W0179_BAC009S0144W0176,S0185,F,S0144,F
BAC009S0223W0219_BAC009S0063W0168,S0223,F,S0063,M
BAC009S0085W0304_BAC009S0209W0282,S0085,M,S0209,F
BAC009S0193W0164_BAC009S0521W0210,S0193,F,S0521,F
BAC009S0190W0476_BAC009S0220W0279,S0190,F,S0220,F
BAC009S0243W0206_BAC009S0143W0330,S0243,F,S0143,F
BAC009S0175W0332_BAC009S0035W0309,S0175,F,S0035,M
BAC009S0237W0215_BAC009S0703W0162,S0237,F,S0703,M
BAC009S0334W0411_BAC009S0183W0440,S0334,F,S0183,F
BAC009S0521W0380_BAC009S0070W0198,S0521,F,S0070,M
BAC009S0514W0141_BAC009S0115W0392,S0514,F,S0115,M
BAC009S0034W0216_BAC009S0149W0428,S0034,M,S0149,F
BAC009S0226W0260_BAC009S0006W0179,S0226,F,S0006,M
BAC009S0658W0415_BAC009S0033W0486,S0658,F,S0033,M
BAC009S0084W0142_BAC009S0703W0489,S0084,M,S0703,M
BAC009S0120W0348_BAC009S0178W0327,S0120,M,S0178,F
BAC009S0221W0294_BAC009S0030W0299,S0221,F,S0030,M
BAC009S0130W0143_BAC009S0038W0352,S0130,F,S0038,M
BAC009S0356W0236_BAC009S0082W0156,S0356,F,S0082,M
BAC009S0060W0169_BAC009S0204W0338,S0060,M,S0204,F
BAC009S0110W0186_BAC009S0050W0138,S0110,M,S0050,M
BAC009S0091W0150_BAC009S0086W0485,S0091,M,S0086,M
BAC009S0051W0127_BAC009S0657W0402,S0051,M,S0657,F
BAC009S0709W0271_BAC009S0155W0371,S0709,M,S0155,F
BAC009S0044W0169_BAC009S0158W0338,S0044,M,S0158,F
BAC009S0075W0251_BAC009S0183W0145,S0075,M,S0183,F
BAC009S0016W0386_BAC009S0073W0173,S0016,M,S0073,M
BAC009S0044W0406_BAC009S0110W0260,S0044,M,S0110,M
BAC009S0059W0214_BAC009S0359W0480,S0059,M,S0359,F
BAC009S0172W0405_BAC009S0087W0352,S0172,F,S0087,M
BAC009S0187W0491_BAC009S0231W0407,S0187,F,S0231,F
BAC009S0083W0220_BAC009S0188W0276,S0083,M,S0188,F
BAC009S0136W0475_BAC009S0657W0495,S0136,F,S0657,F
BAC009S0350W0207_BAC009S0079W0200,S0350,F,S0079,M
BAC009S0034W0268_BAC009S0234W0300,S0034,M,S0234,F
BAC009S0053W0378_BAC009S0186W0198,S0053,M,S0186,F
BAC009S0193W0381_BAC009S0720W0393,S0193,F,S0720,M
BAC009S0155W0231_BAC009S0034W0165,S0155,F,S0034,M
BAC009S0015W0163_BAC009S0246W0382,S0015,M,S0246,M
BAC009S0207W0173_BAC009S0117W0185,S0207,F,S0117,M
BAC009S0039W0412_BAC009S0063W0245,S0039,M,S0063,M
BAC009S0038W0259_BAC009S0140W0206,S0038,M,S0140,F
BAC009S0112W0483_BAC009S0723W0396,S0112,M,S0723,M
BAC009S0073W0380_BAC009S0095W0301,S0073,M,S0095,M
BAC009S0033W0224_BAC009S0122W0125,S0033,M,S0122,M
BAC009S0162W0214_BAC009S0144W0305,S0162,F,S0144,F
BAC009S0665W0158_BAC009S0103W0453,S0665,F,S0103,M
BAC009S0189W0278_BAC009S0217W0324,S0189,F,S0217,F
BAC009S0162W0231_BAC009S0107W0365,S0162,F,S0107,M
BAC009S0084W0241_BAC009S0107W0488,S0084,M,S0107,M
BAC009S0132W0326_BAC009S0155W0291,S0132,F,S0155,F
BAC009S0663W0405_BAC009S0177W0168,S0663,F,S0177,F
BAC009S0005W0162_BAC009S0343W0409,S0005,M,S0343,F
BAC009S0052W0455_BAC009S0147W0479,S0052,M,S0147,F
BAC009S0013W0401_BAC009S0153W0430,S0013,M,S0153,F
BAC009S0138W0374_BAC009S0040W0445,S0138,F,S0040,M
BAC009S0348W0123_BAC009S0136W0140,S0348,F,S0136,F
BAC009S0200W0133_BAC009S0174W0366,S0200,F,S0174,F
BAC009S0113W0345_BAC009S0522W0362,S0113,M,S0522,F
BAC009S0116W0495_BAC009S0014W0248,S0116,M,S0014,M
BAC009S0059W0144_BAC009S0229W0431,S0059,M,S0229,F
BAC009S0153W0396_BAC009S0174W0371,S0153,F,S0174,F
BAC009S0711W0450_BAC009S0138W0359,S0711,M,S0138,F
BAC009S0181W0364_BAC009S0120W0152,S0181,F,S0120,M
BAC009S0657W0385_BAC009S0044W0385,S0657,F,S0044,M
BAC009S0081W0322_BAC009S0112W0400,S0081,M,S0112,M
BAC009S0717W0339_BAC009S0511W0433,S0717,M,S0511,F
BAC009S0079W0343_BAC009S0509W0271,S0079,M,S0509,F
BAC009S0219W0265_BAC009S0197W0331,S0219,F,S0197,F
BAC009S0719W0267_BAC009S0061W0179,S0719,M,S0061,M
BAC009S0010W0209_BAC009S0223W0480,S0010,M,S0223,F
BAC009S0178W0202_BAC009S0085W0381,S0178,F,S0085,M
BAC009S0346W0464_BAC009S0710W0391,S0346,F,S0710,M
BAC009S0191W0319_BAC009S0181W0196,S0191,F,S0181,F
BAC009S0172W0221_BAC009S0196W0303,S0172,F,S0196,F
BAC009S0043W0475_BAC009S0149W0148,S0043,M,S0149,F
BAC009S0519W0438_BAC009S0181W0203,S0519,F,S0181,F
BAC009S0203W0243_BAC009S0218W0490,S0203,F,S0218,F
BAC009S0078W0199_BAC009S0022W0148,S0078,M,S0022,M
BAC009S0082W0322_BAC009S0522W0221,S0082,M,S0522,F
BAC009S0180W0121_BAC009S0063W0332,S0180,F,S0063,M
BAC009S0522W0245_BAC009S0230W0300,S0522,F,S0230,F
BAC009S0133W0195_BAC009S0011W0339,S0133,F,S0011,M
BAC009S0046W0125_BAC009S0051W0226,S0046,M,S0051,M
BAC009S0217W0476_BAC009S0058W0447,S0217,F,S0058,M
BAC009S0142W0357_BAC009S0657W0155,S0142,F,S0657,F
BAC009S0520W0382_BAC009S0705W0327,S0520,F,S0705,M
BAC009S0705W0156_BAC009S0209W0223,S0705,M,S0209,F
BAC009S0042W0391_BAC009S0246W0320,S0042,M,S0246,M
BAC009S0140W0237_BAC009S0112W0220,S0140,F,S0112,M
BAC009S0349W0363_BAC009S0238W0277,S0349,F,S0238,F
BAC009S0522W0476_BAC009S0014W0444,S0522,F,S0014,M
BAC009S0024W0220_BAC009S0597W0358,S0024,M,S0597,M
BAC009S0110W0197_BAC009S0039W0378,S0110,M,S0039,M
BAC009S0340W0198_BAC009S0709W0454,S0340,F,S0709,M
BAC009S0035W0240_BAC009S0722W0342,S0035,M,S0722,M
BAC009S0006W0402_BAC009S0343W0470,S0006,M,S0343,F
BAC009S0032W0491_BAC009S0250W0261,S0032,M,S0250,M
BAC009S0334W0258_BAC009S0068W0223,S0334,F,S0068,M
BAC009S0515W0157_BAC009S0356W0130,S0515,F,S0356,F
BAC009S0102W0403_BAC009S0703W0135,S0102,M,S0703,M
BAC009S0003W0168_BAC009S0156W0491,S0003,M,S0156,F
BAC009S0101W0243_BAC009S0148W0275,S0101,M,S0148,F
BAC009S0723W0203_BAC009S0092W0432,S0723,M,S0092,M
BAC009S0184W0173_BAC009S0658W0165,S0184,F,S0658,F
BAC009S0343W0149_BAC009S0197W0290,S0343,F,S0197,F
BAC009S0123W0277_BAC009S0599W0175,S0123,M,S0599,M
BAC009S0658W0358_BAC009S0200W0472,S0658,F,S0200,F
BAC009S0712W0398_BAC009S0078W0283,S0712,M,S0078,M
BAC009S0190W0131_BAC009S0034W0338,S0190,F,S0034,M
BAC009S0070W0410_BAC009S0137W0128,S0070,M,S0137,F
BAC009S0020W0331_BAC009S0036W0229,S0020,M,S0036,M
