mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
BAC009S0703W0199_BAC009S0131W0264_BAC009S0093W0136,S0703,M,S0131,F,S0093,M
BAC009S0184W0316_BAC009S0335W0145_BAC009S0363W0135,S0184,F,S0335,F,S0363,F
BAC009S0723W0236_BAC009S0170W0242_BAC009S0204W0231,S0723,M,S0170,F,S0204,F
BAC009S0345W0493_BAC009S0706W0456_BAC009S0232W0451,S0345,F,S0706,M,S0232,F
BAC009S0004W0251_BAC009S0232W0472_BAC009S0597W0171,S0004,M,S0232,F,S0597,M
BAC009S0057W0168_BAC009S0228W0185_BAC009S0112W0374,S0057,M,S0228,F,S0112,M
BAC009S0187W0382_BAC009S0723W0356_BAC009S0663W0187,S0187,F,S0723,M,S0663,F
BAC009S0058W0422_BAC009S0211W0272_BAC009S0510W0121,S0058,M,S0211,F,S0510,F
BAC009S0050W0399_BAC009S0046W0290_BAC009S0195W0374,S0050,M,S0046,M,S0195,F
BAC009S0236W0378_BAC009S0060W0432_BAC009S0151W0332,S0236,F,S0060,M,S0151,F
BAC009S0335W0342_BAC009S0248W0129_BAC009S0170W0429,S0335,F,S0248,M,S0170,F
BAC009S0164W0416_BAC009S0710W0314_BAC009S0346W0154,S0164,F,S0710,M,S0346,F
BAC009S0114W0484_BAC009S0116W0289_BAC009S0350W0494,S0114,M,S0116,M,S0350,F
BAC009S0047W0452_BAC009S0203W0382_BAC009S0164W0244,S0047,M,S0203,F,S0164,F
BAC009S0088W0276_BAC009S0709W0167_BAC009S0120W0471,S0088,M,S0709,M,S0120,M
BAC009S0344W0178_BAC009S0703W0185_BAC009S0038W0484,S0344,F,S0703,M,S0038,M
BAC009S0711W0216_BAC009S0226W0495_BAC009S0206W0170,S0711,M,S0226,F,S0206,F
BAC009S0523W0200_BAC009S0601W0133_BAC009S0514W0240,S0523,F,S0601,M,S0514,F
BAC009S0116W0187_BAC009S0166W0127_BAC009S0177W0425,S0116,M,S0166,F,S0177,F
BAC009S0345W0240_BAC009S0114W0208_BAC009S0166W0389,S0345,F,S0114,M,S0166,F
BAC009S0138W0191_BAC009S0252W0272_BAC009S0050W0237,S0138,F,S0252,M,S0050,M
BAC009S0421W0325_BAC009S0361W0326_BAC009S0085W0148,S0421,M,S0361,F,S0085,M
BAC009S0360W0478_BAC009S0085W0224_BAC009S0154W0428,S0360,F,S0085,M,S0154,F
BAC009S0712W0460_BAC009S0172W0331_BAC009S0131W0130,S0712,M,S0172,F,S0131,F
BAC009S0705W0353_BAC009S0142W0231_BAC009S0704W0494,S0705,M,S0142,F,S0704,M
BAC009S0665W0212_BAC009S0077W0310_BAC009S0010W0398,S0665,F,S0077,M,S0010,M
BAC009S0517W0234_BAC009S0083W0362_BAC009S0044W0250,S0517,F,S0083,M,S0044,M
BAC009S0655W0184_BAC009S0216W0230_BAC009S0208W0230,S0655,F,S0216,F,S0208,F
BAC009S0159W0494_BAC009S0666W0490_BAC009S0092W0402,S0159,F,S0666,F,S0092,M
BAC009S0064W0344_BAC009S0072W0409_BAC009S0601W0257,S0064,M,S0072,M,S0601,M
BAC009S0222W0361_BAC009S0008W0437_BAC009S0022W0387,S0222,F,S0008,M,S0022,M
BAC009S0139W0231_BAC009S0168W0339_BAC009S0018W0464,S0139,F,S0168,F,S0018,M
BAC009S0516W0387_BAC009S0423W0161_BAC009S0242W0145,S0516,F,S0423,M,S0242,F
BAC009S0170W0193_BAC009S0145W0449_BAC009S0053W0211,S0170,F,S0145,F,S0053,M
BAC009S0718W0475_BAC009S0222W0458_BAC009S0164W0458,S0718,M,S0222,F,S0164,F
BAC009S0025W0190_BAC009S0224W0288_BAC009S0701W0169,S0025,M,S0224,F,S0701,M
BAC009S0231W0209_BAC009S0362W0141_BAC009S0038W0156,S0231,F,S0362,F,S0038,M
BAC009S0244W0123_BAC009S0705W0458_BAC009S0663W0483,S0244,F,S0705,M,S0663,F
BAC009S0717W0257_BAC009S0195W0453_BAC009S0050W0156,S0717,M,S0195,F,S0050,M
BAC009S0117W0453_BAC009S0002W0206_BAC009S0222W0223,S0117,M,S0002,M,S0222,F
BAC009S0240W0454_BAC009S0016W0123_BAC009S0722W0449,S0240,F,S0016,M,S0722,M
BAC009S0080W0304_BAC009S0078W0259_BAC009S0025W0307,S0080,M,S0078,M,S0025,M
BAC009S0521W0296_BAC009S0123W0139_BAC009S0339W0176,S0521,F,S0123,M,S0339,F
BAC009S0010W0246_BAC009S0229W0406_BAC009S0515W0258,S0010,M,S0229,F,S0515,F
BAC009S0155W0450_BAC009S0352W0229_BAC009S0223W0137,S0155,F,S0352,F,S0223,F
BAC009S0247W0386_BAC009S0341W0453_BAC009S0070W0495,S0247,M,S0341,F,S0070,M
BAC009S0339W0385_BAC009S0095W0367_BAC009S0238W0433,S0339,F,S0095,M,S0238,F
BAC009S0071W0424_BAC009S0065W0426_BAC009S0231W0231,S0071,M,S0065,M,S0231,F
BAC009S0144W0437_BAC009S0519W0167_BAC009S0116W0376,S0144,F,S0519,F,S0116,M
BAC009S0175W0189_BAC009S0344W0391_BAC009S0030W0399,S0175,F,S0344,F,S0030,M
BAC009S0212W0171_BAC009S0024W0423_BAC009S0022W0208,S0212,F,S0024,M,S0022,M
BAC009S0112W0196_BAC009S0018W0155_BAC009S0125W0495,S0112,M,S0018,M,S0125,F
BAC009S0043W0264_BAC009S0012W0490_BAC009S0523W0427,S0043,M,S0012,M,S0523,F
BAC009S0246W0166_BAC009S0007W0443_BAC009S0178W0400,S0246,M,S0007,M,S0178,F
BAC009S0362W0255_BAC009S0517W0178_BAC009S0520W0259,S0362,F,S0517,F,S0520,F
BAC009S0006W0369_BAC009S0166W0401_BAC009S0043W0409,S0006,M,S0166,F,S0043,M
BAC009S0340W0290_BAC009S0205W0145_BAC009S0063W0306,S0340,F,S0205,F,S0063,M
BAC009S0100W0302_BAC009S0421W0405_BAC009S0108W0248,S0100,M,S0421,M,S0108,M
BAC009S0599W0424_BAC009S0518W0384_BAC009S0034W0278,S0599,M,S0518,F,S0034,M
BAC009S0240W0352_BAC009S0194W0266_BAC009S0023W0435,S0240,F,S0194,F,S0023,M
BAC009S0180W0487_BAC009S0003W0221_BAC009S0133W0150,S0180,F,S0003,M,S0133,F
BAC009S0511W0210_BAC009S0073W0309_BAC009S0077W0248,S0511,F,S0073,M,S0077,M
BAC009S0236W0392_BAC009S0512W0363_BAC009S0339W0405,S0236,F,S0512,F,S0339,F
BAC009S0600W0455_BAC009S0123W0399_BAC009S0190W0126,S0600,M,S0123,M,S0190,F
BAC009S0343W0384_BAC009S0346W0168_BAC009S0421W0188,S0343,F,S0346,F,S0421,M
BAC009S0243W0195_BAC009S0356W0123_BAC009S0005W0230,S0243,F,S0356,F,S0005,M
BAC009S0522W0314_BAC009S0049W0334_BAC009S0090W0211,S0522,F,S0049,M,S0090,M
BAC009S0345W0472_BAC009S0173W0376_BAC009S0117W0421,S0345,F,S0173,F,S0117,M
BAC009S0140W0225_BAC009S0042W0341_BAC009S0510W0437,S0140,F,S0042,M,S0510,F
BAC009S0034W0230_BAC009S0120W0447_BAC009S0201W0365,S0034,M,S0120,M,S0201,F
BAC009S0156W0374_BAC009S0229W0458_BAC009S0115W0130,S0156,F,S0229,F,S0115,M
BAC009S0047W0318_BAC009S0221W0382_BAC009S0076W0414,S0047,M,S0221,F,S0076,M
BAC009S0242W0345_BAC009S0666W0238_BAC009S0221W0235,S0242,F,S0666,F,S0221,F
BAC009S0182W0348_BAC009S0352W0462_BAC009S0140W0432,S0182,F,S0352,F,S0140,F
BAC009S0183W0486_BAC009S0144W0330_BAC009S0352W0247,S0183,F,S0144,F,S0352,F
BAC009S0363W0370_BAC009S0216W0335_BAC009S0350W0205,S0363,F,S0216,F,S0350,F
BAC009S0049W0495_BAC009S0213W0163_BAC009S0119W0245,S0049,M,S0213,F,S0119,M
BAC009S0335W0495_BAC009S0193W0373_BAC009S0007W0190,S0335,F,S0193,F,S0007,M
BAC009S0136W0177_BAC009S0521W0341_BAC009S0701W0252,S0136,F,S0521,F,S0701,M
BAC009S0039W0205_BAC009S0164W0491_BAC009S0663W0180,S0039,M,S0164,F,S0663,F
BAC009S0130W0277_BAC009S0720W0353_BAC009S0191W0180,S0130,F,S0720,M,S0191,F
BAC009S0167W0486_BAC009S0053W0187_BAC009S0217W0189,S0167,F,S0053,M,S0217,F
BAC009S0084W0327_BAC009S0663W0136_BAC009S0075W0425,S0084,M,S0663,F,S0075,M
BAC009S0038W0227_BAC009S0157W0448_BAC009S0049W0458,S0038,M,S0157,F,S0049,M
BAC009S0148W0446_BAC009S0252W0179_BAC009S0062W0381,S0148,F,S0252,M,S0062,M
BAC009S0223W0296_BAC009S0038W0192_BAC009S0342W0172,S0223,F,S0038,M,S0342,F
BAC009S0075W0407_BAC009S0106W0342_BAC009S0188W0196,S0075,M,S0106,M,S0188,F
BAC009S0112W0426_BAC009S0154W0151_BAC009S0709W0144,S0112,M,S0154,F,S0709,M
BAC009S0237W0224_BAC009S0168W0201_BAC009S0346W0214,S0237,F,S0168,F,S0346,F
BAC009S0169W0474_BAC009S0133W0164_BAC009S0052W0333,S0169,F,S0133,F,S0052,M
BAC009S0188W0250_BAC009S0208W0493_BAC009S0713W0152,S0188,F,S0208,F,S0713,M
BAC009S0204W0387_BAC009S0192W0136_BAC009S0339W0198,S0204,F,S0192,F,S0339,F
BAC009S0662W0134_BAC009S0112W0233_BAC009S0720W0156,S0662,F,S0112,M,S0720,M
BAC009S0703W0244_BAC009S0221W0334_BAC009S0710W0430,S0703,M,S0221,F,S0710,M
BAC009S0521W0256_BAC009S0655W0482_BAC009S0218W0370,S0521,F,S0655,F,S0218,F
BAC009S0060W0392_BAC009S0181W0209_BAC009S0187W0479,S0060,M,S0181,F,S0187,F
BAC009S0657W0265_BAC009S0139W0418_BAC009S0103W0327,S0657,F,S0139,F,S0103,M
BAC009S0143W0243_BAC009S0011W0184_BAC009S0092W0437,S0143,F,S0011,M,S0092,M
BAC009S0236W0224_BAC009S0204W0229_BAC009S0334W0167,S0236,F,S0204,F,S0334,F
BAC009S0211W0466_BAC009S0103W0424_BAC009S0244W0237,S0211,F,S0103,M,S0244,F
BAC009S0173W0220_BAC009S0116W0238_BAC009S0093W0437,S0173,F,S0116,M,S0093,M
BAC009S0039W0478_BAC009S0151W0124_BAC009S0163W0150,S0039,M,S0151,F,S0163,F
BAC009S0166W0393_BAC009S0152W0385_BAC009S0190W0264,S0166,F,S0152,F,S0190,F
BAC009S0089W0323_BAC009S0513W0280_BAC009S0225W0357,S0089,M,S0513,F,S0225,F
BAC009S0251W0135_BAC009S0354W0209_BAC009S0190W0180,S0251,M,S0354,F,S0190,F
BAC009S0339W0298_BAC009S0217W0218_BAC009S0712W0175,S0339,F,S0217,F,S0712,M
BAC009S0166W0195_BAC009S0712W0396_BAC009S0055W0341,S0166,F,S0712,M,S0055,M
BAC009S0211W0162_BAC009S0099W0283_BAC009S0701W0121,S0211,F,S0099,M,S0701,M
BAC009S0177W0263_BAC009S0003W0488_BAC009S0339W0267,S0177,F,S0003,M,S0339,F
BAC009S0514W0407_BAC009S0156W0204_BAC009S0209W0371,S0514,F,S0156,F,S0209,F
BAC009S0081W0237_BAC009S0512W0493_BAC009S0351W0461,S0081,M,S0512,F,S0351,F
BAC009S0007W0230_BAC009S0050W0138_BAC009S0082W0396,S0007,M,S0050,M,S0082,M
BAC009S0175W0162_BAC009S0206W0232_BAC009S0059W0237,S0175,F,S0206,F,S0059,M
BAC009S0155W0494_BAC009S0072W0482_BAC009S0718W0483,S0155,F,S0072,M,S0718,M
BAC009S0056W0145_BAC009S0151W0391_BAC009S0027W0489,S0056,M,S0151,F,S0027,M
BAC009S0139W0415_BAC009S0513W0372_BAC009S0170W0299,S0139,F,S0513,F,S0170,F
BAC009S0034W0275_BAC009S0222W0290_BAC009S0116W0249,S0034,M,S0222,F,S0116,M
BAC009S0209W0168_BAC009S0722W0181_BAC009S0357W0183,S0209,F,S0722,M,S0357,F
BAC009S0246W0484_BAC009S0205W0121_BAC009S0350W0280,S0246,M,S0205,F,S0350,F
BAC009S0076W0328_BAC009S0161W0491_BAC009S0709W0154,S0076,M,S0161,F,S0709,M
BAC009S0201W0191_BAC009S0092W0294_BAC009S0002W0187,S0201,F,S0092,M,S0002,M
BAC009S0137W0370_BAC009S0342W0225_BAC009S0238W0254,S0137,F,S0342,F,S0238,F
BAC009S0220W0259_BAC009S0195W0456_BAC009S0019W0255,S0220,F,S0195,F,S0019,M
BAC009S0125W0171_BAC009S0033W0152_BAC009S0223W0141,S0125,F,S0033,M,S0223,F
BAC009S0068W0434_BAC009S0241W0463_BAC009S0105W0381,S0068,M,S0241,F,S0105,M
BAC009S0053W0407_BAC009S0149W0428_BAC009S0172W0278,S0053,M,S0149,F,S0172,F
BAC009S0144W0126_BAC009S0241W0418_BAC009S0093W0387,S0144,F,S0241,F,S0093,M
BAC009S0088W0151_BAC009S0153W0235_BAC009S0035W0213,S0088,M,S0153,F,S0035,M
BAC009S0207W0495_BAC009S0095W0144_BAC009S0174W0418,S0207,F,S0095,M,S0174,F
BAC009S0660W0359_BAC009S0026W0150_BAC009S0201W0465,S0660,F,S0026,M,S0201,F
BAC009S0175W0313_BAC009S0052W0478_BAC009S0075W0444,S0175,F,S0052,M,S0075,M
BAC009S0174W0151_BAC009S0343W0285_BAC009S0063W0329,S0174,F,S0343,F,S0063,M
BAC009S0128W0179_BAC009S0597W0191_BAC009S0186W0276,S0128,F,S0597,M,S0186,F
BAC009S0239W0239_BAC009S0709W0424_BAC009S0707W0278,S0239,F,S0709,M,S0707,M
BAC009S0211W0137_BAC009S0252W0473_BAC009S0073W0323,S0211,F,S0252,M,S0073,M
BAC009S0064W0412_BAC009S0032W0431_BAC009S0237W0483,S0064,M,S0032,M,S0237,F
BAC009S0716W0253_BAC009S0247W0205_BAC009S0340W0460,S0716,M,S0247,M,S0340,F
BAC009S0092W0381_BAC009S0134W0233_BAC009S0126W0450,S0092,M,S0134,F,S0126,F
BAC009S0096W0383_BAC009S0142W0491_BAC009S0198W0123,S0096,M,S0142,F,S0198,F
BAC009S0070W0125_BAC009S0164W0205_BAC009S0159W0312,S0070,M,S0164,F,S0159,F
BAC009S0339W0123_BAC009S0107W0313_BAC009S0519W0418,S0339,F,S0107,M,S0519,F
BAC009S0089W0309_BAC009S0723W0159_BAC009S0105W0446,S0089,M,S0723,M,S0105,M
BAC009S0252W0442_BAC009S0176W0143_BAC009S0210W0143,S0252,M,S0176,F,S0210,F
BAC009S0145W0354_BAC009S0360W0472_BAC009S0050W0249,S0145,F,S0360,F,S0050,M
BAC009S0142W0473_BAC009S0091W0270_BAC009S0345W0296,S0142,F,S0091,M,S0345,F
BAC009S0522W0178_BAC009S0511W0424_BAC009S0358W0366,S0522,F,S0511,F,S0358,F
BAC009S0007W0147_BAC009S0354W0164_BAC009S0146W0251,S0007,M,S0354,F,S0146,F
BAC009S0117W0252_BAC009S0236W0216_BAC009S0701W0366,S0117,M,S0236,F,S0701,M
BAC009S0030W0465_BAC009S0085W0476_BAC009S0071W0494,S0030,M,S0085,M,S0071,M
BAC009S0096W0175_BAC009S0598W0413_BAC009S0233W0213,S0096,M,S0598,M,S0233,F
BAC009S0192W0218_BAC009S0115W0256_BAC009S0200W0388,S0192,F,S0115,M,S0200,F
BAC009S0041W0319_BAC009S0014W0367_BAC009S0123W0351,S0041,M,S0014,M,S0123,M
BAC009S0149W0343_BAC009S0140W0214_BAC009S0341W0403,S0149,F,S0140,F,S0341,F
BAC009S0056W0388_BAC009S0068W0155_BAC009S0066W0426,S0056,M,S0068,M,S0066,M
BAC009S0167W0220_BAC009S0008W0325_BAC009S0102W0143,S0167,F,S0008,M,S0102,M
BAC009S0079W0220_BAC009S0598W0477_BAC009S0123W0134,S0079,M,S0598,M,S0123,M
BAC009S0523W0447_BAC009S0073W0204_BAC009S0061W0260,S0523,F,S0073,M,S0061,M
BAC009S0115W0348_BAC009S0363W0294_BAC009S0661W0312,S0115,M,S0363,F,S0661,F
BAC009S0024W0123_BAC009S0421W0195_BAC009S0219W0272,S0024,M,S0421,M,S0219,F
BAC009S0343W0304_BAC009S0014W0491_BAC009S0185W0389,S0343,F,S0014,M,S0185,F
BAC009S0175W0390_BAC009S0063W0160_BAC009S0004W0318,S0175,F,S0063,M,S0004,M
BAC009S0173W0125_BAC009S0205W0477_BAC009S0004W0434,S0173,F,S0205,F,S0004,M
BAC009S0005W0421_BAC009S0039W0185_BAC009S0723W0482,S0005,M,S0039,M,S0723,M
BAC009S0349W0121_BAC009S0706W0430_BAC009S0022W0443,S0349,F,S0706,M,S0022,M
BAC009S0206W0456_BAC009S0038W0380_BAC009S0030W0318,S0206,F,S0038,M,S0030,M
BAC009S0237W0303_BAC009S0074W0490_BAC009S0596W0127,S0237,F,S0074,M,S0596,M
BAC009S0015W0272_BAC009S0338W0367_BAC009S0704W0179,S0015,M,S0338,F,S0704,M
BAC009S0181W0305_BAC009S0179W0206_BAC009S0028W0337,S0181,F,S0179,F,S0028,M
BAC009S0024W0149_BAC009S0088W0327_BAC009S0156W0346,S0024,M,S0088,M,S0156,F
BAC009S0190W0476_BAC009S0220W0279_BAC009S0106W0482,S0190,F,S0220,F,S0106,M
BAC009S0116W0366_BAC009S0217W0362_BAC009S0038W0459,S0116,M,S0217,F,S0038,M
BAC009S0658W0453_BAC009S0215W0352_BAC009S0075W0329,S0658,F,S0215,F,S0075,M
BAC009S0134W0333_BAC009S0235W0174_BAC009S0519W0222,S0134,F,S0235,F,S0519,F
BAC009S0070W0188_BAC009S0194W0164_BAC009S0175W0321,S0070,M,S0194,F,S0175,F
BAC009S0105W0146_BAC009S0130W0437_BAC009S0237W0327,S0105,M,S0130,F,S0237,F
BAC009S0103W0487_BAC009S0522W0325_BAC009S0214W0315,S0103,M,S0522,F,S0214,F
BAC009S0116W0203_BAC009S0663W0149_BAC009S0115W0185,S0116,M,S0663,F,S0115,M
BAC009S0163W0391_BAC009S0133W0314_BAC009S0201W0294,S0163,F,S0133,F,S0201,F
BAC009S0421W0467_BAC009S0226W0183_BAC009S0014W0331,S0421,M,S0226,F,S0014,M
BAC009S0085W0455_BAC009S0520W0152_BAC009S0512W0246,S0085,M,S0520,F,S0512,F
BAC009S0011W0401_BAC009S0660W0180_BAC009S0655W0462,S0011,M,S0660,F,S0655,F
BAC009S0119W0243_BAC009S0657W0402_BAC009S0192W0301,S0119,M,S0657,F,S0192,F
BAC009S0115W0358_BAC009S0213W0300_BAC009S0709W0481,S0115,M,S0213,F,S0709,M
BAC009S0075W0251_BAC009S0111W0310_BAC009S0703W0471,S0075,M,S0111,M,S0703,M
BAC009S0065W0415_BAC009S0034W0295_BAC009S0172W0405,S0065,M,S0034,M,S0172,F
BAC009S0117W0439_BAC009S0363W0474_BAC009S0716W0425,S0117,M,S0363,F,S0716,M
BAC009S0358W0393_BAC009S0109W0198_BAC009S0096W0227,S0358,F,S0109,M,S0096,M
BAC009S0172W0425_BAC009S0523W0122_BAC009S0246W0377,S0172,F,S0523,F,S0246,M
BAC009S0034W0268_BAC009S0093W0342_BAC009S0144W0184,S0034,M,S0093,M,S0144,F
BAC009S0165W0169_BAC009S0225W0197_BAC009S0707W0343,S0165,F,S0225,F,S0707,M
BAC009S0662W0339_BAC009S0703W0146_BAC009S0720W0202,S0662,F,S0703,M,S0720,M
BAC009S0157W0330_BAC009S0207W0173_BAC009S0219W0275,S0157,F,S0207,F,S0219,F
BAC009S0235W0494_BAC009S0188W0272_BAC009S0704W0209,S0235,F,S0188,F,S0704,M
BAC009S0140W0206_BAC009S0095W0381_BAC009S0243W0199,S0140,F,S0095,M,S0243,F
BAC009S0515W0362_BAC009S0095W0301_BAC009S0252W0123,S0515,F,S0095,M,S0252,M
BAC009S0176W0296_BAC009S0337W0443_BAC009S0344W0250,S0176,F,S0337,F,S0344,F
BAC009S0072W0468_BAC009S0053W0248_BAC009S0337W0492,S0072,M,S0053,M,S0337,F
BAC009S0072W0459_BAC009S0143W0369_BAC009S0068W0190,S0072,M,S0143,F,S0068,M
BAC009S0085W0222_BAC009S0233W0189_BAC009S0713W0211,S0085,M,S0233,F,S0713,M
BAC009S0155W0291_BAC009S0359W0386_BAC009S0361W0246,S0155,F,S0359,F,S0361,F
BAC009S0656W0473_BAC009S0246W0330_BAC009S0662W0495,S0656,F,S0246,M,S0662,F
BAC009S0036W0281_BAC009S0247W0370_BAC009S0107W0410,S0036,M,S0247,M,S0107,M
BAC009S0709W0270_BAC009S0065W0481_BAC009S0597W0394,S0709,M,S0065,M,S0597,M
BAC009S0159W0169_BAC009S0227W0149_BAC009S0521W0385,S0159,F,S0227,F,S0521,F
BAC009S0190W0256_BAC009S0059W0144_BAC009S0186W0472,S0190,F,S0059,M,S0186,F
BAC009S0209W0318_BAC009S0174W0371_BAC009S0179W0444,S0209,F,S0174,F,S0179,F
BAC009S0040W0475_BAC009S0067W0394_BAC009S0120W0152,S0040,M,S0067,M,S0120,M
BAC009S0161W0261_BAC009S0073W0187_BAC009S0022W0167,S0161,F,S0073,M,S0022,M
BAC009S0119W0470_BAC009S0515W0396_BAC009S0035W0185,S0119,M,S0515,F,S0035,M
BAC009S0221W0172_BAC009S0102W0165_BAC009S0718W0184,S0221,F,S0102,M,S0718,M
BAC009S0252W0211_BAC009S0216W0490_BAC009S0116W0292,S0252,M,S0216,F,S0116,M
BAC009S0069W0382_BAC009S0222W0287_BAC009S0091W0186,S0069,M,S0222,F,S0091,M
BAC009S0047W0384_BAC009S0226W0451_BAC009S0188W0403,S0047,M,S0226,F,S0188,F
BAC009S0080W0348_BAC009S0089W0435_BAC009S0035W0163,S0080,M,S0089,M,S0035,M
BAC009S0018W0258_BAC009S0201W0176_BAC009S0423W0149,S0018,M,S0201,F,S0423,M
BAC009S0722W0286_BAC009S0145W0305_BAC009S0021W0370,S0722,M,S0145,F,S0021,M
BAC009S0091W0385_BAC009S0661W0364_BAC009S0119W0257,S0091,M,S0661,F,S0119,M
BAC009S0224W0422_BAC009S0223W0187_BAC009S0205W0468,S0224,F,S0223,F,S0205,F
BAC009S0196W0136_BAC009S0522W0245_BAC009S0661W0461,S0196,F,S0522,F,S0661,F
BAC009S0663W0440_BAC009S0038W0431_BAC009S0165W0298,S0663,F,S0038,M,S0165,F
BAC009S0519W0277_BAC009S0163W0334_BAC009S0237W0236,S0519,F,S0163,F,S0237,F
BAC009S0062W0487_BAC009S0230W0403_BAC009S0035W0293,S0062,M,S0230,F,S0035,M
BAC009S0091W0486_BAC009S0153W0340_BAC009S0003W0264,S0091,M,S0153,F,S0003,M
BAC009S0597W0314_BAC009S0027W0472_BAC009S0214W0198,S0597,M,S0027,M,S0214,F
BAC009S0188W0266_BAC009S0052W0177_BAC009S0230W0485,S0188,F,S0052,M,S0230,F
BAC009S0352W0164_BAC009S0210W0442_BAC009S0131W0446,S0352,F,S0210,F,S0131,F
BAC009S0717W0179_BAC009S0110W0197_BAC009S0089W0141,S0717,M,S0110,M,S0089,M
BAC009S0192W0150_BAC009S0012W0333_BAC009S0079W0136,S0192,F,S0012,M,S0079,M
BAC009S0210W0365_BAC009S0206W0451_BAC009S0512W0386,S0210,F,S0206,F,S0512,F
BAC009S0522W0152_BAC009S0250W0261_BAC009S0197W0165,S0522,F,S0250,M,S0197,F
BAC009S0161W0141_BAC009S0199W0133_BAC009S0600W0359,S0161,F,S0199,F,S0600,M
BAC009S0353W0280_BAC009S0017W0252_BAC009S0038W0181,S0353,F,S0017,M,S0038,M
BAC009S0122W0156_BAC009S0211W0221_BAC009S0008W0161,S0122,M,S0211,F,S0008,M
BAC009S0518W0480_BAC009S0714W0363_BAC009S0023W0468,S0518,F,S0714,M,S0023,M
BAC009S0343W0214_BAC009S0215W0326_BAC009S0335W0131,S0343,F,S0215,F,S0335,F
BAC009S0221W0446_BAC009S0359W0249_BAC009S0132W0220,S0221,F,S0359,F,S0132,F
BAC009S0226W0326_BAC009S0046W0370_BAC009S0134W0192,S0226,F,S0046,M,S0134,F
BAC009S0078W0319_BAC009S0358W0394_BAC009S0510W0317,S0078,M,S0358,F,S0510,F
BAC009S0348W0423_BAC009S0062W0417_BAC009S0004W0167,S0348,F,S0062,M,S0004,M
BAC009S0344W0367_BAC009S0713W0313_BAC009S0066W0392,S0344,F,S0713,M,S0066,M
BAC009S0090W0473_BAC009S0144W0403_BAC009S0204W0226,S0090,M,S0144,F,S0204,F
BAC009S0240W0440_BAC009S0151W0428_BAC009S0092W0320,S0240,F,S0151,F,S0092,M
BAC009S0714W0325_BAC009S0709W0261_BAC009S0120W0490,S0714,M,S0709,M,S0120,M
